YEAR;MO;DY;HR;ALLSKY_SFC_SW_DWN;T2M;RH2M;WS10M;WS50M;Wind_80m;Air_Density;Power_Output_kW;Solar_Output_kW;Total_Power_Output_kW;H2_Production_kg;System_Efficiency
2024;4;10;22;0;19,43;89,55;8,8;11,04;11,79087054;1,206452081;808,1220865;0;808,1220865;14,75602215;71,94%
2024;4;10;23;0;19,35;89,76;8,67;10,89;11,63066849;1,206782051;786,3476051;0;786,3476051;14,35683121;71,94%
2024;4;11;0;0;19,26;90,31;8,52;10,73;11,45978631;1,207153483;763,3446297;0;763,3446297;13,93510808;71,93%
2024;4;11;1;0;19,17;90,99;8,28;10,43;11,13938222;1,207525144;720,6135438;0;720,6135438;13,15339194;71,92%
2024;4;11;2;0;19,03;92,26;7,94;10;10,68013636;1,208103737;660,8101377;0;660,8101377;12,05944958;71,90%
2024;4;11;3;0;18,85;93,8;7,79;9,7;10,35973227;1,208848459;620,2745435;0;620,2745435;11,31686182;71,89%
2024;4;11;4;0;18,82;91,98;7,69;9,61;10,26361104;1,208972668;608,2252222;0;608,2252222;11,09655975;71,88%
2024;4;11;5;0;19,1;83,21;7,37;9,52;10,16748981;1,207814371;595,6208502;0;595,6208502;10,87083638;71,91%
2024;4;11;6;5,3;19,43;74,77;6,97;9,39;10,02864804;1,206452081;577,7458635;19,3715;597,1173635;10,90315088;71,94%
2024;4;11;7;69,45;20,19;67,21;6,77;9,31;9,94320695;1,203326345;565,7735795;253,83975;819,6133295;14,98165796;72,02%
2024;4;11;8;164,73;21,29;61,5;6,44;9,08;9,697563813;1,198830831;534,0135375;602,08815;1136,101687;20,79844635;72,13%
2024;4;11;9;286,17;22,44;56,1;5,84;8,41;8,981994677;1,194166751;449,0069687;1045,95135;1494,958319;27,41161644;72,24%
2024;4;11;10;419,35;23,99;49,58;5,34;7,73;8,255745405;1,187937504;367,8443971;1532,72425;1900,568647;34,92367246;72,40%
2024;4;11;11;532,72;25,89;42,71;4,89;7,04;7,518815996;1,180389747;291,3945921;1947,0916;2238,486192;41,2409833;72,59%
2024;4;11;12;893,42;27,9;35,84;4,14;5,82;6,215839361;1,172508719;173,7707492;3265,4501;3439,220849;63,53829584;72,79%
2024;4;11;13;910,5;29;32,51;3,87;5,19;5,54299077;1,168240113;121,7498298;3327,8775;3449,62733;63,826861;72,90%
2024;4;11;14;855,97;28,08;36,69;4,74;6,25;6,675085224;1,171808087;212,1664382;3128,57035;3340,736788;61,73410256;72,81%
2024;4;11;15;677,97;26,02;45,9;5,93;8,16;8,714991268;1,179876826;414,2658186;2477,98035;2892,246169;53,2951412;72,60%
2024;4;11;16;465,17;24,19;54,92;6,64;9,66;10,31701172;1,187138461;603,8388822;1700,19635;2304,035232;42,34922017;72,42%
2024;4;11;17;247,48;22,58;63,54;7,19;10,52;11,23550345;1,193601427;724,9593114;904,5394;1629,498711;29,88434464;72,26%
2024;4;11;18;72,65;21,75;68,22;7,24;10,41;11,11802195;1,196960834;711,4990831;265,53575;977,0348331;17,89783987;72,18%
2024;4;11;19;0;21,2;72,45;6,9;9,93;10,6053754;1,199197384;646,3841954;0;646,3841954;11,8317838;72,12%
2024;4;11;20;0;20,75;77,36;6,43;9,19;9,815045313;1,201033515;549,1327191;0;549,1327191;10,04536567;72,08%
2024;4;11;21;0;20,24;83,08;6,2;8,56;9,142196723;1,203121272;470,6673378;0;470,6673378;8,603894502;72,02%
2024;4;11;22;0;19,75;88,95;5,93;7,89;8,426627587;1,205134005;391,5159335;0;391,5159335;7,152121653;71,98%
2024;4;11;23;0;19,38;93,74;5,39;7,08;7,561536542;1,206658291;302,1134857;0;302,1134857;5,516101507;71,94%
2024;4;12;0;0;19,23;95,75;4,56;6,33;6,760526315;1,207277345;226,2554618;0;226,2554618;4,130195832;71,92%
2024;4;12;1;0;19,19;95,59;3,72;5,62;6,002236633;1,207442533;161,4183571;0;161,4183571;2,946458585;71,92%
2024;4;12;2;0;19,22;94,21;3,09;4,83;5,158505861;1,207318637;98,39450067;0;98,39450067;1,796124182;71,92%
2024;4;12;3;0;19,24;92,48;2,64;4,05;4,325455225;1,207236055;47,34333662;0;47,34333662;0,864244199;71,92%
2024;4;12;4;0;19,25;91,28;2,3;3,45;3,684647044;1,207194767;17,57504813;0;17,57504813;0,320833842;71,93%
2024;4;12;5;0;19,18;91,76;2,14;3,18;3,396283362;1,207483837;7,741215492;0;7,741215492;0,141302725;71,92%
2024;4;12;6;8,43;19,02;93,81;2,16;3,19;3,406963498;1,208145087;8,060673899;30,81165;38,8723239;0,709390313;71,90%
2024;4;12;7;132,27;19,23;94,51;2,35;3,31;3,535125135;1,207277345;12,14532523;483,44685;495,5921752;9,046821325;71,92%
2024;4;12;8;333,52;19,56;94,47;2,51;3,32;3,545805271;1,205916265;12,49662719;1219,0156;1231,512227;22,49103904;71,96%
2024;4;12;9;572,25;20,05;92,36;2,53;3,44;3,673966907;1,203900921;17,1185777;2091,57375;2108,692328;38,53715509;72,01%
2024;4;12;10;779,33;20,67;88,37;2,75;3,74;3,994370998;1,201360527;30,61364944;2848,45115;2879,064799;52,66131038;72,07%
2024;4;12;11;923,4;21,38;81,79;2,94;3,94;4,207973725;1,198464503;40,89125879;3375,027;3415,918259;62,54251557;72,14%
2024;4;12;12;1005,28;22,13;73,2;3,11;4,11;4,389536043;1,195420448;50,32044557;3674,2984;3724,618846;68,26545703;72,21%
2024;4;12;13;993,92;22,27;72,06;3,68;4,91;5,243946952;1,194853937;103,2173656;3632,7776;3735,994966;68,48723563;72,23%
2024;4;12;14;906,53;22,11;72,77;4,36;5,93;6,333320861;1,195501422;186,9755633;3313,36715;3500,342713;64,15310855;72,21%
2024;4;12;15;744,35;21,94;73,18;4,87;6,77;7,230452315;1,196190145;267,4850409;2720,59925;2988,084291;54,75171505;72,19%
2024;4;12;16;531,2;21,72;73,84;5,17;7,29;7,785819405;1,197082613;322,0903069;1941,536;2263,626307;41,46457813;72,17%
2024;4;12;17;287,9;21,14;79,57;5,46;7,68;8,202344723;1,199441877;365,7606413;1052,2745;1418,035141;25,95436198;72,11%
2024;4;12;18;82,97;20,67;83,69;5,7;7,88;8,41594745;1,201360527;389,1384044;303,25535;692,3937544;12,664655;72,07%
2024;4;12;19;0;20,24;87,19;5,61;7,78;8,309146087;1,203121272;378,2382902;0;378,2382902;6,914272745;72,02%
2024;4;12;20;0;19,94;90,38;5,39;7,47;7,97806186;1,204352759;343,7662354;0;343,7662354;6,281499073;71,99%
2024;4;12;21;0;19,6;93,89;5,18;7,09;7,572216678;1,205751494;302,9473005;0;302,9473005;5,533017194;71,96%
2024;4;12;22;0;19,37;96,03;4,8;6,66;7,112970815;1,206699542;258,673335;0;258,673335;4,722889265;71,94%
2024;4;12;23;0;19,23;97,28;4,42;6,19;6,611004406;1,207277345;212,8963184;0;212,8963184;3,886330433;71,92%
2024;4;13;0;0;19,1;98,33;4,05;5,63;6,01291677;1,207814371;162,3304407;0;162,3304407;2,962736546;71,91%
2024;4;13;1;0;18,97;99,09;3,65;5;5,340068179;1,208351876;111,1617205;0;111,1617205;2,02847569;71,90%
2024;4;13;2;0;18,88;99,52;3,24;4,35;4,645859316;1,208724275;65,58966036;0;65,58966036;1,196728301;71,89%
2024;4;13;3;0;18,82;99,5;2,98;3,89;4,154573043;1,208972668;38,5449668;0;38,5449668;0,703220635;71,88%
2024;4;13;4;0;18,75;99,56;2,88;3,67;3,919610044;1,20926259;27,40597449;0;27,40597449;0,49995036;71,88%
2024;4;13;5;0;18,67;99,78;2,92;3,71;3,962330589;1,209594099;29,34574695;0;29,34574695;0,535276852;71,87%
2024;4;13;6;9,75;18,54;99,29;3,24;4,13;4,410896316;1,210133189;52,11885837;35,63625;87,75510837;1,600394811;71,85%
2024;4;13;7;150,07;19,03;88,46;3,74;4,63;4,944903134;1,208103737;84,21127928;548,50585;632,7171293;11,54676643;71,90%
2024;4;13;8;379,7;20,03;70,72;4,23;5,17;5,521630497;1,203983048;123,8972359;1387,8035;1511,700736;27,62613911;72,00%
2024;4;13;9;618,2;21,77;57,37;4,55;6,45;6,888687951;1,196879662;235,8708119;2259,521;2495,391812;45,71317127;72,18%
2024;4;13;10;809,45;23,85;47,72;4,85;7,22;7,711058451;1,188497475;312,316605;2958,53975;3270,856355;60,09160844;72,39%
2024;4;13;11;939,45;25,54;41,87;4,67;6,78;7,241132451;1,181772908;265,2624987;3433,68975;3698,952249;68,11517296;72,55%
2024;4;13;12;976,25;27,33;34,19;3,83;5,29;5,649792134;1,174732927;130,2194704;3568,19375;3698,41322;68,27327126;72,73%
2024;4;13;13;959,58;28,89;27,96;2,6;3,46;3,69532718;1,168665574;17,41378319;3507,2649;3524,678683;65,20566105;72,89%
2024;4;13;14;846;28,76;29,29;2,41;3,01;3,214721044;1,169168792;2,989566388;3092,13;3095,119566;57,24871409;72,88%
2024;4;13;15;675,2;27,35;35,46;3,2;4,07;4,346815498;1,174654742;47,18364274;2467,856;2515,039643;46,42929148;72,74%
2024;4;13;16;453,23;25,55;43,26;4,04;5,44;5,809994179;1,181733344;143,0529089;1656,55565;1799,608559;33,13974594;72,56%
2024;4;13;17;237,55;23,93;50,48;4,48;6,48;6,92072836;1,188177427;237,0557541;868,24525;1105,301004;20,30864355;72,39%
2024;4;13;18;72,3;22,84;55,89;4,58;6,93;7,401334496;1,192552958;282,9914473;264,2565;547,2479473;10,0399164;72,28%
2024;4;13;19;0;22,08;59,82;4,29;6,92;7,39065436;1,195622904;282,6878703;0;282,6878703;5,180793335;72,21%
2024;4;13;20;0;21,45;63,66;4,14;6,73;7,187731769;1,198179735;263,8817332;0;263,8817332;4,831915646;72,15%
2024;4;13;21;0;20,85;68,04;4,21;6,53;6,974129042;1,200625;244,4496401;0;244,4496401;4,472373682;72,09%
2024;4;13;22;0;20,24;73,44;4,26;6,13;6,546923588;1,203121272;206,540977;0;206,540977;3,775610997;72,02%
2024;4;13;23;0;19,67;80,21;4,02;5,48;5,852714724;1,205463254;149,2658866;0;149,2658866;2,726451284;71,97%
2024;4;14;0;0;19,22;86,92;3,64;4,71;5,030344225;1,207318637;89,76261362;0;89,76261362;1,638554999;71,92%
2024;4;14;1;0;19,04;91,51;3,06;3,82;4,079812089;1,208062391;34,83619516;0;34,83619516;0,63575172;71,90%
2024;4;14;2;0;18,98;94,95;2,24;2,77;2,958397771;1,208310512;0;0;0;0;71,90%
2024;4;14;3;0;19,04;95,96;1,43;1,73;1,84766359;1,208062391;0;0;0;0;71,90%
2024;4;14;4;0;18,95;95,77;0,85;1,07;1,14277459;1,208434611;0;0;0;0;71,90%
